country,certificate_count
US,58879
BE,9544
GB,4364
BR,1099
AT,646
IN,455
CN,213
LV,208
RU,49
LU,36
PL,31
GR,23
IT,22
IE,14
AE,10
XX,10
NO,10
FR,9
IL,6
JP,3
AU,3
DE,2
ES,2
ZA,1
BM,1
EU,1
CH,1
