domain,subject,issuer,version,serial_number,not_before,not_after
gov.br,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,4835703278459707669005204,1998-09-01 12:00:00,2028-01-28 12:00:00
livescore.in,CN=*.livescore.in,"CN=R10,O=Let's Encrypt,C=US",v3,372137940585103742895847936806826418572229,2024-07-21 04:23:13,2024-10-19 04:23:12
livescore.in,"CN=R10,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,100566080436859127493189557861323994576,2024-03-13 00:00:00,2027-03-12 23:59:59
lotterysambadresult.in,CN=lotterysambadresult.in,"CN=E5,O=Let's Encrypt,C=US",v3,348704920678684255844433536150646021576568,2024-07-13 11:32:51,2024-10-11 11:32:50
lotterysambadresult.in,"CN=E5,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,174873564306387906651619802726858882526,2024-03-13 00:00:00,2027-03-12 23:59:59
lotterysambadresult.in,"CN=ISRG Root X1,O=Internet Security Research Group,C=US","CN=DST Root CA X3,O=Digital Signature Trust Co.",v3,85078200265644417569109389142156118711,2021-01-20 19:14:03,2024-09-30 18:14:03
sattasport.in,CN=sattasport.in,"CN=WE1,O=Google Trust Services,C=US",v3,78893293069075913069652735579379565715,2024-07-06 23:21:03,2024-10-04 23:21:02
sattasport.in,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
sattasport.in,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
uol.com.br,CN=uol.com.br,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,5515244402479858761995092100506966669,2024-02-16 00:00:00,2025-03-09 23:59:59
uol.com.br,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,14816627491795588044059060260691382010,2017-11-02 12:24:33,2027-11-02 12:24:33
uol.com.br,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,4293743540046975378534879503202253541,2013-08-01 12:00:00,2038-01-15 12:00:00
ndtv.in,"CN=ndtv.com,O=NDTV Convergence Limited,L=New Delhi,ST=Delhi,C=IN","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",v3,6248054018074128993841550173579725370,2024-01-31 00:00:00,2025-01-31 23:59:59
